,sound_label,sound_start,sound_end,word,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,participant,duration,changeF2,changeF1,trajectory,gender,changeF1norm,changeF2norm,traj_norm,child
181,price,911.34,911.458,FIGHT,820.33,850.64,804.42,757.43,700.49,1385.12,1440.9,1599.54,1764.14,1864.68,Lola,0.117999999999938,479.56,-119.84,494.30700905409,F,-1015.59322033952,4064.0677966123,4189.04244961313,teen
182,price,914.151,914.323,FIGHT,865.83,866.46,805.01,761.51,585.78,1415.14,1505.21,1793.78,1980.16,2168.69,Lola,0.172000000000025,753.55,-280.05,803.906465330389,F,-1628.19767441837,4381.10465116215,4673.87479843182,teen
183,goat,961.919455163884,962.262329040419,NO,652.22,613.42,478.7,474.6,534.91,1955.16,1995.89,2004.67,2067.36,2022.65,Lola,0.342873876535691,67.49,-117.31,135.338598337651,F,-342.137468112969,196.836226433759,394.718313640798,teen
184,goat,968.041631368837,968.1382718472,NO,686.01,674.83,665.17,652.17,574.35,1833.79,1784.33,1744.57,1706.94,1517.3,Lola,0.0966404783637245,-316.49,-111.66,335.609707398341,F,-1155.41646617007,-3274.92170318974,3472.76537824255,teen
185,price,968.849,968.944,FIGHT,959.35,904.11,967.34,915.83,840.94,1266.75,1521.56,1526.46,1738.33,1874.25,Lola,0.0949999999999136,607.5,-118.41,618.932288784484,F,-1246.42105263271,6394.73684211108,6515.07672405312,teen
186,face,971.521,971.589,THEY,634.12,638.77,589.88,530.01,501.21,2003.22,2085.58,2163.98,2270.78,2316.63,Lola,0.0680000000000973,313.41,-132.91,340.427519745393,F,-1954.55882352662,4608.9705882287,5006.28705507215,teen
187,price,973.301896108569,973.379354399146,ISOLATION,1071.85,1019.04,981.15,942.24,888.75,1629.73,1670.9,1704.47,1755.31,1812.71,Lola,0.07745829057626,182.98,-183.1,258.857664364028,F,-2363.85283793131,2362.30361706538,3341.89745782183,teen
188,face,973.647,973.724,ISOLATION,487.66,470.49,445.56,428.89,438.24,2209.92,2269.21,2306,2252.65,2833.57,Lola,0.0769999999999982,623.65,-49.42,625.605034266829,F,-641.818181818197,8099.35064935084,8124.7407047642,teen
189,price,979.765,979.853,FIGHT,876.66,847.57,867.9,835.07,776.32,1256.49,1416.95,1580.72,1681.25,1875.14,Lola,0.0879999999999654,618.65,-100.34,626.734344120378,F,-1140.22727272772,7030.1136363664,7121.98118318891,teen
190,face,984.443,984.568,CAME,564.33,552.06,556.08,562.32,563.8,2521.16,2610.37,2701.05,2683.61,2523.18,Lola,0.125,2.01999999999998,-0.530000000000086,2.08837257212405,F,-4.24000000000069,16.1599999999998,16.7069805769924,teen
191,price,988.737,988.887,FIGHT,906.38,980.01,1047.95,891.69,797.94,1274.34,1438.23,1668.34,1954.83,2124.8,Lola,0.149999999999977,850.46,-108.44,857.345580964876,F,-722.933333333444,5669.7333333342,5715.63720643338,teen
192,price,1012.004,1012.107,TIMES,914.53,933.88,917.59,870.32,801.25,1538.38,1588.41,1670.72,1703.84,1740.22,Lola,0.102999999999952,201.84,-113.28,231.455706345728,F,-1099.80582524323,1959.61165048635,2247.14278005666,teen
193,price,1017.233,1017.416,TIMES,925.72,971.18,798.46,716.84,650.93,1445.45,1508.22,1670.12,1828.6,1945.52,Lola,0.183000000000106,500.07,-274.79,570.595784246607,F,-1501.58469945268,2732.62295081809,3118.00974997965,teen
194,price,1018.644,1018.757,TIME,853.97,906.35,965.46,902.38,772.22,1393.61,1371.49,1369.91,1395.16,1417.47,Lola,0.112999999999943,23.8600000000001,-81.75,85.1608014288264,F,-723.451327433993,211.150442477984,753.63541087495,teen
195,face,1025.16,1025.211,CRAZY,511.51,472.65,459.33,432.27,402.25,1923.24,2018.46,2107.09,2223.41,2191.98,Lola,0.0509999999999309,268.74,-109.26,290.101594618161,F,-2142.35294117937,5269.41176471302,5688.26656114812,teen
196,face,1029.626,1029.714,THEY,487.18,505.17,492.07,467.98,447.51,2105.59,2262.8,2317.99,2288.59,2219.62,Lola,0.0879999999999654,114.03,-39.67,120.733383121653,F,-450.795454545632,1295.79545454596,1371.9702627466,teen
197,face,1032.137,1032.249,THEY,524.81,499.04,488.1,440.08,419.95,2324.54,2339.28,2467.38,2464.59,2340.91,Lola,0.11200000000008,16.3699999999999,-104.86,106.130092339543,F,-936.249999999331,146.160714285609,947.590110173814,teen
198,face,1032.427,1032.614,SAY,609.52,586.86,577.11,494.18,485.6,2199.67,2456.74,2571.07,2691.82,2718.19,Lola,0.187000000000126,518.52,-123.92,533.122084329659,F,-662.673796790997,2772.83422459706,2850.92023705508,teen
