"","participant","sound_label","sound_start","sound_end","word","utterance","F1_20","F1_35","F1_50","F1_65","F1_80","F2_20","F2_35","F2_50","F2_65","F2_80","duration","changeF2","changeF1","trajectory","gender","changeF1norm","changeF2norm","traj_norm","child","meanF1","meanF2","FLEECEF1","FLEECEF2","TRAPF1","TRAPF2","u_F1","u_F2","s_f1","s_f2"
"83","Ali","goat",1670.46912448595,1670.55386126572,"SOLD","sometimes it would be sold at shops",527.91,557.83,536.92,542.93,546.69,1064.18,1071.72,1172.39,1254.51,1269.2,0.0847367797655352,205.02,18.7800000000001,205.878334945666,"M",221.627492240842,2419.4924632171,2429.62188928263,"teen",542.456,1166.4,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"84","Ali","lot",1670.84410979446,1670.90432832474,"SHOPS","sometimes it would be sold at shops",600.29,630.93,666.85,659.77,661.17,1218.14,1214.88,1201.87,1179.4,1163.09,0.060218530280963,-55.0500000000002,60.88,82.0784801272539,"M",1010.98448793006,-914.170434634524,1363.01035153629,"teen",643.802,1195.476,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"85","Ali","goat",1671.93193967739,1672.029074494,"SOLD","would be sold at cars",454.34,470.51,502.41,528.94,505.75,854.39,869.31,868.68,1056.29,1199.53,0.0971348166090138,345.14,51.41,348.947858139293,"M",529.26439555587,3553.20586427063,3592.40764867941,"teen",492.39,969.64,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"86","Ali","fleece",1685.96520608938,1686.05260747837,"POLICE","the police can't do anything just cos back time it was ((il))legal",422.8,477.37,446.22,441.55,439.63,2028.71,2046.11,2053.06,2043.3,1962.84,0.0874013889854268,-65.8700000000001,16.83,67.9860706321524,"M",192.559868846091,-753.649350023295,777.860299720046,"teen",445.514,2026.804,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"87","Ali","fleece",1690.97250527111,1691.07862825618,"EATING","so you could walk around wi- eating on the way and police can see you they can't say anything",266.53,368.51,402.92,411.37,330.16,2215.07,2256.93,2204.64,2156.31,2151.62,0.106122985066349,-63.4500000000003,63.6300000000001,89.8592198942326,"M",599.587355747844,-597.891210469917,846.746063899841,"teen",355.898,2196.914,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"88","Ali","price",1698.55327549827,1698.64166024187,"LIKE","nah it's it's like plant",832.27,833.45,835.46,828.41,803.97,1457.57,1427.27,1406.77,1374.66,1299.64,0.08838474360482,-157.93,-28.3,160.445551200399,"M",-320.19100634079,-1786.84684209897,1815.30821560984,"teen",826.712,1393.182,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"89","Ali","goat",1702.3804383054,1702.47908270173,"DON'T","but you don't swallow it you keep it in your chin",543.08,550.77,582.06,596.48,575.48,1485.64,1453.8,1417.83,1411.95,1422.81,0.098644396329064,-62.8300000000002,32.4,70.6920709839514,"M",328.452514341698,-636.93430481756,716.635446256191,"teen",569.574,1438.406,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"90","Ali","price",1732.58287026539,1732.70601186977,"FLIES","there was too many flies about",823.3,818.59,800.17,763.79,686.36,1574.13,1565.63,1595.91,1630.48,1628.28,0.123141604378588,54.1499999999999,-136.94,147.257550230879,"M",-1112.05307654584,439.737652219639,1195.83913961482,"teen",778.442,1598.886,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"91","Ali","price",1736.81868156302,1736.93631406256,"I'D","I'd try eat",871.48,832.29,818.47,715.98,666.14,1303.89,1413.51,1505.17,1533.43,1624.11,0.117632499543333,320.22,-205.34,380.401582541398,"M",-1745.60602552152,2722.20688366856,3233.81364859349,"teen",780.872,1476.022,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"92","Ali","price",1737.13413993683,1737.27025155896,"TRY","I'd try eat",797.63,840.4,832.56,794.19,755.41,1575.77,1564.67,1587.24,1667.95,1804.36,0.136111622127146,228.59,-42.22,232.45626793012,"M",-310.186590536413,1679.43042943436,1707.83555656236,"teen",804.038,1639.998,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"93","Ali","price",1739.13679712308,1739.27470683255,"FLY","I would try eat a fly would jump on my food",819.9,873.57,832.27,802.43,666.08,1478.75,1544.41,1483.97,1431.17,1354.93,0.137909709464111,-123.82,-153.82,197.463882267112,"M",-1115.36744292852,-897.83381084,1431.83451719546,"teen",798.85,1458.646,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"94","Ali","price",1741.69131488528,1741.76791394672,"FLY","then I would get rid of that fly then two other flies would jump on it again",787.9,734.19,689.68,668.72,622.7,1556.17,1591.77,1644.76,1653.67,1641.3,0.0765990614474958,85.1299999999999,-165.2,185.844442747153,"M",-2156.68438853177,1111.37131958662,2426.19738721653,"teen",700.638,1617.534,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"95","Ali","price",1770.05468253968,1770.15428548601,"DRIVE","you can drive a car at any age and my dad goes Somalia quite often",597.66,679.97,695.99,692.43,679.92,1498.84,1467.09,1400.12,1402.54,1385.91,0.099602946324012,-112.93,82.26,139.713608857548,"M",825.879183657934,-1133.8018017322,1402.7055826547,"teen",669.194,1430.9,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"96","Ali","face",1771.0009599636,1771.19444248964,"AGE","you can drive a car at any age and my dad goes Somalia quite often",563.12,471.55,454,471.16,438.67,2146.52,2082.98,2042.96,2006.01,1990.19,0.193482526036405,-156.33,-124.45,199.817094864278,"M",-643.210539728967,-807.979941147685,1032.7397463618,"teen",479.7,2053.732,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"97","Ali","price",1771.57413706759,1771.66025864512,"MY","you can drive a car at any age and my dad goes Somalia quite often",706.14,723.89,759.83,737.63,708.75,1254.99,1289.27,1429.89,1432.8,1524.03,0.0861215775314577,269.04,2.61000000000001,269.052659715528,"M",30.3059938613718,3123.95578102047,3124.10277920479,"teen",727.248,1386.196,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"98","Ali","goat",1777.85421336232,1777.99582310102,"GO","and he would -- and there I would -- he would -- I would go with my cousin and drive it around",490.3,486.53,507.16,535.99,546.88,1460.25,1466.99,1522,1488.48,1462.22,0.141609738703892,1.97000000000003,56.58,56.6142852997368,"M",399.548791755838,13.9114726009016,399.790902927362,"teen",513.372,1479.988,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"99","Ali","price",1778.09001111035,1778.14979420051,"MY","and he would -- and there I would -- he would -- I would go with my cousin and drive it around",669.4,702.4,732.26,734.67,731.88,1069.97,1113.77,1171.86,1176.48,1177.2,0.0597830901556335,107.23,62.48,124.104888300179,"M",1045.11158318089,1793.65100935478,2075.91959494058,"teen",714.122,1141.856,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"100","Ali","price",1778.94977726575,1779.04708101422,"DRIVE","and he would -- and there I would -- he would -- I would go with my cousin and drive it around",658.75,634.46,699.63,700.98,649.99,1331.37,1329.2,1327.28,1425.25,1353.93,0.0973037484786801,22.5600000000002,-8.75999999999999,24.20105782812,"M",-90.027364176205,231.851294042832,248.716603486479,"teen",668.762,1353.406,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"101","Ali","goat",1796.92826191536,1796.99768167585,"ROADS","me I was in the normal roads",574.62,521.94,536.76,484.3,440.8,1467.11,1302.31,1448.64,1402.03,1463.49,0.0694197604871079,-3.61999999999989,-133.82,133.868953831723,"M",-1927.69319659137,-52.1465354331231,1928.39838242577,"teen",511.684,1416.716,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"102","Ali","face",1811.08401287732,1811.1862462585,"PLACE","d- I went few place I went capital",480.8,472.37,486.19,527.79,451.86,1936.03,2088.63,2016.02,2095.94,2016.07,0.102233381181122,80.04,-28.94,85.1112519000866,"M",-283.077793824782,782.914534130461,832.51919203669,"teen",483.802,2030.538,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"103","Ali","price",1813.03824453324,1813.18395372732,"I","and I went to a place near (( )) called Borama",797.21,844.09,798.74,703.57,355.45,1464.81,1449.31,1334.04,1201.98,1116.21,0.145709194079473,-348.6,-441.76,562.737823146801,"M",-3031.79221318769,-2392.43653910999,3862.06118770976,"teen",699.812,1313.27,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"104","Ali","face",1814.13500744048,1814.22441468254,"PLACE","and I went to a place near (( )) called Borama",441.87,403.32,397.34,451.4,410.76,2105.77,2143.68,2163.66,2143.41,2174.55,0.0894072420635439,68.7800000000002,-31.11,75.4885454887033,"M",-347.958389969007,769.288912313351,844.322492746748,"teen",420.938,2146.214,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
